iter	Passed	Remaining
1463	16148	397
1464	16158	386
1465	16178	375
1466	16189	364
1467	16200	353
1468	16211	342
1469	16222	331
1470	16233	320
1471	16243	308
1472	16254	297
1473	16266	286
1474	16277	275
1475	16288	264
1476	16298	253
1477	16310	242
1478	16321	231
1479	16333	220
1480	16345	209
1481	16356	198
1482	16368	187
1483	16380	176
1484	16390	165
1485	16401	154
1486	16413	143
1487	16424	132
1488	16435	121
1489	16447	110
1490	16458	99
1491	16469	88
1492	16480	77
1493	16491	66
1494	16502	55
1495	16513	44
1496	16524	33
1497	16534	22
1498	16545	11
1499	16556	0
